|numvelasfp|empresa|numeroPredicciones|ratioFalsosPositivos|subgrupos
885|26|BCOR|28|92.9000|SG_4;SG_23;SG_42;SG_10;SG_4;SG_23;SG_42;SG_10
886|26|MPB|28|92.9000|SG_4;SG_41;SG_22;SG_10;SG_18;SG_4;SG_41;SG_22;SG_10;SG_18;SG_47
887|13|AMSF|14|92.9000|SG_4;SG_10;SG_18;SG_4;SG_10;SG_18
888|13|PDD|14|92.9000|SG_22;SG_42;SG_2;SG_22;SG_42;SG_2
889|13|LNSR|14|92.9000|SG_43;SG_5;SG_43;SG_5
890|53|MGIC|57|93.0000|SG_14;SG_4;SG_33;SG_22;SG_19;SG_14;SG_4;SG_41;SG_33;SG_22;SG_19
891|53|NWSA|57|93.0000|SG_14;SG_41;SG_40;SG_22;SG_19;SG_2;SG_14;SG_41;SG_40;SG_22;SG_19;SG_2
892|40|PI|43|93.0000|SG_14;SG_4;SG_23;SG_42;SG_47;SG_14;SG_4;SG_23;SG_42;SG_47
893|27|CSTR|29|93.1000|SG_4;SG_41;SG_10;SG_18;SG_47;SG_4;SG_41;SG_22;SG_10;SG_18;SG_47
894|27|GROW|29|93.1000|SG_41;SG_17;SG_5;SG_10;SG_41;SG_17;SG_5;SG_10
895|27|GALT|29|93.1000|SG_22;SG_43;SG_5;SG_42;SG_47;SG_37;SG_22;SG_43;SG_5;SG_42;SG_47
896|27|DCOM|29|93.1000|SG_4;SG_41;SG_22;SG_10;SG_18;SG_4;SG_41;SG_22;SG_18
897|41|AXDX|44|93.2000|SG_4;SG_26;SG_43;SG_42;SG_47;SG_4;SG_26;SG_43;SG_42
898|41|PAYX|44|93.2000|SG_41;SG_22;SG_49;SG_12;SG_19;SG_47;SG_2;SG_41;SG_22;SG_12;SG_19;SG_2
899|14|KZIA|15|93.3000|SG_37;SG_43;SG_42;SG_37;SG_43
900|28|HIMX|30|93.3000|SG_14;SG_4;SG_41;SG_22;SG_18;SG_14;SG_4;SG_41;SG_22;SG_18
901|14|ETTX|15|93.3000|SG_37;SG_43;SG_5;SG_37;SG_43;SG_5;SG_42
902|14|POAI|15|93.3000|SG_37;SG_43;SG_5;SG_37;SG_43;SG_5
