"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"ISDS","Invesco RAFI Strategic Developed ex-US Small Company ETF","23.77","$15.45M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/isds",
"ISEM","Invesco RAFI Strategic Emerging Markets ETF","25.065","$26.32M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/isem",
"IUS","Invesco RAFI Strategic US ETF","27.05","$129.84M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ius",
"IUSS","Invesco RAFI Strategic US Small Company ETF","24.37","$26.81M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/iuss",
"USLB","Invesco Russell 1000 Low Beta Equal Weight ETF","34.6077","$91.71M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/uslb",
"PSCD","Invesco S&P SmallCap Consumer Discretionary ETF","62.5597","$21.9M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/pscd",
"PSCC","Invesco S&P SmallCap Consumer Staples ETF","75.055","$48.79M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/pscc",
"PSCE","Invesco S&P SmallCap Energy ETF","6.14","$23.03M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/psce",
"PSCF","Invesco S&P SmallCap Financials ETF","56.7175","$127.61M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/pscf",
"PSCH","Invesco S&P SmallCap Health Care ETF","129.5049","$479.17M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/psch",
"PSCI","Invesco S&P SmallCap Industrials ETF","70.52","$56.42M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/psci",
