"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"YNDX","","","","","","",""
"YMAB","","","","","","",""
"YLDE","","","","","","",""
"YLD","","","","","","",""
"YLCO","","","","","","",""
"YJ","","","","","","",""
"YINN","","","","","","",""
"YIN","","","","","","",""
"YI","","","","","","",""
"YGYIP","","","","","","",""
"YGYI","","","","","","",""
"YGRN","","","","","","",""
"YGMZ","","","","","","",""
"YEXT","","","","","","",""
"YETI","","","","","","",""
"YELP","","","","","","",""
"YCS","","","","","","",""
"YCL","","","","","","",""
"YCBD","","","","","","",""
"YANG","","","","","","",""
"YALA","","","","","","",""
"YAC","","","","","","",""
"Y","","","","","","",""
"XYLG","","","","","","",""
"XYLD","","","","","","",""
"XYL","","","","","","",""
"XYF","","","","","","",""
"XXII","","","","","","",""
"XWEB","","","","","","",""
"XVZ","","","","","","",""
"XVV","","","","","","",""
"XTNT","","","","","","",""
"XTN","","","","","","",""
"XTLB","","","","","","",""
"XTL","","","","","","",""
"XT","","","","","","",""
"XSW","","","","","","",""
"XSVM","","","","","","",""
"XSPA","","","","","","",""
"XSOE","","","","","","",""
"XSMO","","","","","","",""
"XSLV","","","","","","",""
"XSHQ","","","","","","",""
"XSHD","","","","","","",""
"XSD","","","","","","",""
"XRX","","","","","","",""
"XRT","","","","","","",""
"XRLV","","","","","","",""
"XRAY","","","","","","",""
"XPP","","","","","","",""
"XPO","","","","","","",""
"XPL","","","","","","",""
"XPH","","","","","","",""
"XPEV","","","","","","",""
"XPER","","","","","","",""
"XPEL","","","","","","",""
"XP","","","","","","",""
"XOUT","","","","","","",""
"XOP","","","","","","",""
"XONE","","","","","","",""
"XOMA","","","","","","",""
"XOM","","","","","","",""
"XNTK","","","","","","",""
"XNET","","","","","","",""
"XNCR","","","","","","",""
"XMVM","","","","","","",""
"XMPT","","","","","","",""
"XMMO","","","","","","",""
"XMLV","","","","","","",""
"XMHQ","","","","","","",""
"XME","","","","","","",""
"XLY","","","","","","",""
"XLV","","","","","","",""
"XLU","","","","","","",""
"XLSR","","","","","","",""
"XLRN","","","","","","",""
"XLRE","","","","","","",""
"XLP","","","","","","",""
"XLNX","","","","","","",""
"XLK","","","","","","",""
"XLI","","","","","","",""
"XLG","","","","","","",""
"XLF","","","","","","",""
"XLE","","","","","","",""
"XLC","","","","","","",""
"XLB","","","","","","",""
"XJR","","","","","","",""
"XJH","","","","","","",""
"XITK","","","","","","",""
"XIN","","","","","","",""
"XHS","","","","","","",""
"XHR","","","","","","",""
"XHE","","","","","","",""
"XHB","","","","","","",""
"XGN","","","","","","",""
"XFOR","","","","","","",""
"XFLT","","","","","","",""
"XES","","","","","","",""
"XERS","","","","","","",""
"XENT","","","","","","",""
"XENE","","","","","","",""
"XELB","","","","","","",""
"XELA","","","","","","",""
"XEL","","","","","","",""
"XEC","","","","","","",""
"XDIV","","","","","","",""
"XCUR","","","","","","",""
"XCEM","","","","","","",""
"XBUY","","","","","","",""
"XBIT","","","","","","",""
"XBIOW","","","","","","",""
"XBIO","","","","","","",""
"XBI","","","","","","",""
"XAR","","","","","","",""
"XAN","","","","","","",""
"XAIR","","","","","","",""
"X","","","","","","",""
"WYY","","","","","","",""
"WYNN","","","","","","",""
"WYND","","","","","","",""
"WY","","","","","","",""
"WWW","","","","","","",""
"WWR","","","","","","",""
"WWJD","","","","","","",""
"WWE","","","","","","",""
"WWD","","","","","","",""
"WW","","","","","","",""
"WVVIP","","","","","","",""
"WVVI","","","","","","",""
"WVFC","","","","","","",""
"WVE","","","","","","",""
"WUGI","","","","","","",""
"WU","","","","","","",""
"WTTR","","","","","","",""
"WTT","","","","","","",""
"WTS","","","","","","",""
"WTRU","","","","","","",""
"WTRH","","","","","","",""
"WTRG","","","","","","",""
"WTREP","","","","","","",""
"WTRE","","","","","","",""
"WTMF","","","","","","",""
"WTM","","","","","","",""
"WTI","","","","","","",""
"WTFCP","","","","","","",""
"WTFCM","","","","","","",""
"WTFC","","","","","","",""
"WTER","","","","","","",""
"WTBA","","","","","","",""
"WSTG","","","","","","",""
"WST","","","","","","",""
"WSR","","","","","","",""
"WSO","","","","","","",""
"WSM","","","","","","",""
"WSG","","","","","","",""
"WSFS","","","","","","",""
"WSC","","","","","","",""
"WSBF","","","","","","",""
"WSBCP","","","","","","",""
"WSBC","","","","","","",""
"WRTC","","","","","","",""
"WRN","","","","","","",""
"WRLD","","","","","","",""
"WRK","","","","","","",""
"WRI","","","","","","",""
"WRE","","","","","","",""
"WRB","","","","","","",""
"WPX","","","","","","",""
"WPS","","","","","","",""
"WPRT","","","","","","",""
"WPP","","","","","","",""
"WPM","","","","","","",""
"WPG","","","","","","",""
"WPF","","","","","","",""
"WPC","","","","","","",""
"WOW","","","","","","",""
"WORX","","","","","","",""
"WORK","","","","","","",""
"WOR","","","","","","",""
"WOOD","","","","","","",""
"WOMN","","","","","","",""
"WNS","","","","","","",""
"WNEB","","","","","","",""
"WNC","","","","","","",""
"WMT","","","","","","",""
"WMS","","","","","","",""
"WMK","","","","","","",""
"WMG","","","","","","",""
"WMC","","","","","","",""
"WMB","","","","","","",""
"WM","","","","","","",""
"WLTW","","","","","","",""
"WLL","","","","","","",""
"WLKP","","","","","","",""
"WLK","","","","","","",""
"WLFC","","","","","","",""
"WLDR","","","","","","",""
"WLDN","","","","","","",""
"WKHS","","","","","","",""
"WKEY","","","","","","",""
"WK","","","","","","",""
"WIZ","","","","","","",""
"WIX","","","","","","",""
"WIW","","","","","","",""
"WIT","","","","","","",""
"WISA","","","","","","",""
"WIRE","","","","","","",""
"WIP","","","","","","",""
"WINT","","","","","","",""
"WING","","","","","","",""
"WINC","","","","","","",""
"WINA","","","","","","",""
"WIMI","","","","","","",""
"WILC","","","","","","",""
"WIL","","","","","","",""
"WIFI","","","","","","",""
"WIA","","","","","","",""
"WHR","","","","","","",""
"WHLRP","","","","","","",""
"WHLRD","","","","","","",""
"WHLR","","","","","","",""
"WHLM","","","","","","",""
"WHG","","","","","","",""
"WHFBZ","","","","","","",""
"WHF","","","","","","",""
"WHD","","","","","","",""
"WH","","","","","","",""
"WGO","","","","","","",""
"WFIG","","","","","","",""
"WFHY","","","","","","",""
"WFH","","","","","","",""
"WFC","","","","","","",""
"WF","","","","","","",""
"WEYS","","","","","","",""
"WEX","","","","","","",""
"WETF","","","","","","",""
"WES","","","","","","",""
"WERN","","","","","","",""
"WEN","","","","","","",""
"WELL","","","","","","",""
"WEI","","","","","","",""
"WEC","","","","","","",""
"WEBS","","","","","","",""
"WEBL","","","","","","",""
"WEAT","","","","","","",""
"WEA","","","","","","",""
"WDR","","","","","","",""
"WDIV","","","","","","",""
"WDFC","","","","","","",""
"WDC","","","","","","",""
"WDAY","","","","","","",""
"WD","","","","","","",""
"WCN","","","","","","",""
"WCLD","","","","","","",""
"WCC","","","","","","",""
"WBT","","","","","","",""
"WBS","","","","","","",""
"WBND","","","","","","",""
"WBK","","","","","","",""
"WBIY","","","","","","",""
"WBIT","","","","","","",""
"WBIN","","","","","","",""
"WBIL","","","","","","",""
"WBII","","","","","","",""
"WBIG","","","","","","",""
"WBIF","","","","","","",""
"WBIE","","","","","","",""
"WBAI","","","","","","",""
"WBA","","","","","","",""
"WB","","","","","","",""
"WATT","","","","","","",""
"WAT","","","","","","",""
"WASH","","","","","","",""
"WANT","","","","","","",""
"WALA","","","","","","",""
"WAL","","","","","","",""
"WAFU","","","","","","",""
"WAFD","","","","","","",""
"WABC","","","","","","",""
"WAB","","","","","","",""
"W","","","","","","",""
"VZ","","","","","","",""
"VYNE","","","","","","",""
"VYMI","","","","","","",""
"VYM","","","","","","",""
"VYGR","","","","","","",""
"VXZ","","","","","","",""
"VXX","","","","","","",""
"VXUS","","","","","","",""
"VXRT","","","","","","",""
"VXF","","","","","","",""
"VWOB","","","","","","",""
"VWO","","","","","","",""
"VWID","","","","","","",""
"VVV","","","","","","",""
"VVR","","","","","","",""
"VVPR","","","","","","",""
"VVNT","","","","","","",""
"VVI","","","","","","",""
"VV","","","","","","",""
"VUZI","","","","","","",""
"VUSE","","","","","","",""
"VUG","","","","","","",""
"VTWV","","","","","","",""
"VTWO","","","","","","",""
"VTWG","","","","","","",""
"VTVT","","","","","","",""
"VTV","","","","","","",""
"VTSI","","","","","","",""
"VTRU","","","","","","",""
"VTRS","","","","","","",""
"VTRN","","","","","","",""
"VTR","","","","","","",""
"VTOL","","","","","","",""
"VTNR","","","","","","",""
"VTN","","","","","","",""
"VTIP","","","","","","",""
"VTI","","","","","","",""
"VTHR","","","","","","",""
"VTGN","","","","","","",""
"VTEB","","","","","","",""
"VTC","","","","","","",""
"VTA","","","","","","",""
"VT","","","","","","",""
"VSTO","","","","","","",""
"VSTM","","","","","","",""
"VSTA","","","","","","",""
"VST","","","","","","",""
"VSS","","","","","","",""
"VSPRU","","","","","","",""
"VSMV","","","","","","",""
"VSL","","","","","","",""
"VSH","","","","","","",""
"VSGX","","","","","","",""
"VSEC","","","","","","",""
"VSDA","","","","","","",""
"VSAT","","","","","","",""
"VRTX","","","","","","",""
"VRTV","","","","","","",""
"VRTU","","","","","","",""
"VRTS","","","","","","",""
"VRT","","","","","","",""
"VRSN","","","","","","",""
"VRSK","","","","","","",""
"VRS","","","","","","",""
"VRRM","","","","","","",""
"VRP","","","","","","",""
"VRNT","","","","","","",""
"VRNS","","","","","","",""
"VRNA","","","","","","",""
"VRMEW","","","","","","",""
"VRME","","","","","","",""
"VRM","","","","","","",""
"VRIG","","","","","","",""
"VREX","","","","","","",""
"VRCA","","","","","","",""
"VRAY","","","","","","",""
"VRAI","","","","","","",""
"VRA","","","","","","",""
"VPV","","","","","","",""
"VPU","","","","","","",""
"VPN","","","","","","",""
"VPL","","","","","","",""
"VPG","","","","","","",""
"VPC","","","","","","",""
"VOYA","","","","","","",""
"VOXX","","","","","","",""
"VOX","","","","","","",""
"VOT","","","","","","",""
"VOOV","","","","","","",""
"VOOG","","","","","","",""
"VOO","","","","","","",""
"VONV","","","","","","",""
"VONG","","","","","","",""
"VONE","","","","","","",""
"VOLT","","","","","","",""
"VOE","","","","","","",""
"VOD","","","","","","",""
"VOC","","","","","","",""
"VO","","","","","","",""
"VNTR","","","","","","",""
"VNT","","","","","","",""
"VNSE","","","","","","",""
"VNRX","","","","","","",""
"VNQI","","","","","","",""
"VNQ","","","","","","",""
"VNOM","","","","","","",""
"VNO","","","","","","",""
"VNMC","","","","","","",""
"VNM","","","","","","",""
"VNLA","","","","","","",""
"VNET","","","","","","",""
"VNE","","","","","","",""
"VNDA","","","","","","",""
"VNCE","","","","","","",""
"VMW","","","","","","",""
"VMOT","","","","","","",""
"VMO","","","","","","",""
"VMM","","","","","","",""
"VMI","","","","","","",""
"VMD","","","","","","",""
"VMC","","","","","","",""
"VMBS","","","","","","",""
"VMACW","","","","","","",""
"VMACU","","","","","","",""
"VMAC","","","","","","",""
"VLYPP","","","","","","",""
"VLYPO","","","","","","",""
"VLY","","","","","","",""
"VLUE","","","","","","",""
"VLU","","","","","","",""
"VLT","","","","","","",""
"VLRS","","","","","","",""
"VLO","","","","","","",""
"VLGEA","","","","","","",""
"VLDRW","","","","","","",""
"VLDR","","","","","","",""
"VKTXW","","","","","","",""
"VKTX","","","","","","",""
"VKQ","","","","","","",""
"VKI","","","","","","",""
"VJET","","","","","","",""
"VIXY","","","","","","",""
"VIXM","","","","","","",""
"VIVO","","","","","","",""
"VIVE","","","","","","",""
"VIV","","","","","","",""
"VITL","","","","","","",""
"VIST","","","","","","",""
"VISL","","","","","","",""
"VIS","","","","","","",""
"VIRT","","","","","","",""
"VIRS","","","","","","",""
"VIRC","","","","","","",""
"VIR","","","","","","",""
"VIPS","","","","","","",""
"VIOV","","","","","","",""
"VIOT","","","","","","",""
"VIOO","","","","","","",""
"VIOG","","","","","","",""
"VIHAW","","","","","","",""
"VIHAU","","","","","","",""
"VIH","","","","","","",""
"VIGI","","","","","","",""
"VIG","","","","","","",""
"VIE","","","","","","",""
"VIDI","","","","","","",""
"VICR","","","","","","",""
"VICI","","","","","","",""
"VICE","","","","","","",""
"VIAV","","","","","","",""
"VIAO","","","","","","",""
"VIACA","","","","","","",""
"VIAC","","","","","","",""
"VHT","","","","","","",""
"VHI","","","","","","",""
"VHC","","","","","","",""
"VGZ","","","","","","",""
"VGT","","","","","","",""
"VGSH","","","","","","",""
"VGR","","","","","","",""
"VGM","","","","","","",""
"VGLT","","","","","","",""
"VGK","","","","","","",""
"VGIT","","","","","","",""
"VGI","","","","","","",""
"VG","","","","","","",""
"VFVA","","","","","","",""
"VFQY","","","","","","",""
"VFMV","","","","","","",""
"VFMO","","","","","","",""
"VFMF","","","","","","",""
"VFLQ","","","","","","",""
"VFL","","","","","","",""
"VFH","","","","","","",""
"VFF","","","","","","",""
"VFC","","","","","","",""
"VEU","","","","","","",""
"VETS","","","","","","",""
"VET","","","","","","",""
"VERY","","","","","","",""
"VERX","","","","","","",""
"VERU","","","","","","",""
"VERO","","","","","","",""
"VERI","","","","","","",""
"VERBW","","","","","","",""
"VERB","","","","","","",""
"VER","","","","","","",""
"VEON","","","","","","",""
"VEL","","","","","","",""
"VEGN","","","","","","",""
"VEGI","","","","","","",""
"VEGA","","","","","","",""
"VEEV","","","","","","",""
"VEDL","","","","","","",""
"VECO","","","","","","",""
"VEC","","","","","","",""
"VEA","","","","","","",""
"VDE","","","","","","",""
"VDC","","","","","","",""
"VCYT","","","","","","",""
"VCV","","","","","","",""
"VCTR","","","","","","",""
"VCSH","","","","","","",""
"VCRA","","","","","","",""
"VCR","","","","","","",""
"VCNX","","","","","","",""
"VCLT","","","","","","",""
"VCIT","","","","","","",""
"VCIF","","","","","","",""
"VCF","","","","","","",""
"VCEL","","","","","","",""
"VCEB","","","","","","",""
"VC","","","","","","",""
"VBTX","","","","","","",""
"VBR","","","","","","",""
"VBND","","","","","","",""
"VBLT","","","","","","",""
"VBK","","","","","","",""
"VBIV","","","","","","",""
"VBFC","","","","","","",""
"VBF","","","","","","",""
"VB","","","","","","",""
"VAW","","","","","","",""
"VAR","","","","","","",""
"VAPO","","","","","","",""
"VAMO","","","","","","",""
"VALU","","","","","","",""
"VALT","","","","","","",""
"VALQ","","","","","","",""
"VALE","","","","","","",""
"VACQW","","","","","","",""
"VACQU","","","","","","",""
"VACQ","","","","","","",""
"VAC","","","","","","",""
"V","","","","","","",""
"UZD","","","","","","",""
"UZC","","","","","","",""
"UZB","","","","","","",""
"UZA","","","","","","",""
"UYM","","","","","","",""
"UYG","","","","","","",""
"UXIN","","","","","","",""
"UXI","","","","","","",""
"UWM","","","","","","",""
"UVXY","","","","","","",""
"UVV","","","","","","",""
"UVSP","","","","","","",""
"UVE","","","","","","",""
"UUUU","","","","","","",""
"UUU","","","","","","",""
"UUP","","","","","","",""
"UTZ","","","","","","",""
"UTSL","","","","","","",""
"UTSI","","","","","","",""
"UTRN","","","","","","",""
"UTMD","","","","","","",""
"UTL","","","","","","",""
"UTI","","","","","","",""
"UTHR","","","","","","",""
"UTG","","","","","","",""
"UTF","","","","","","",""
"UTES","","","","","","",""
"USXF","","","","","","",""
"USX","","","","","","",""
"USWSW","","","","","","",""
"USWS","","","","","","",""
"USVM","","","","","","",""
"USV","","","","","","",""
"USTB","","","","","","",""
"UST","","","","","","",""
"USSG","","","","","","",""
"USRT","","","","","","",""
"USPH","","","","","","",""
"USOI","","","","","","",""
"USO","","","","","","",""
"USNA","","","","","","",""
"USMV","","","","","","",""
"USMF","","","","","","",""
"USMC","","","","","","",""
"USM","","","","","","",""
"USLM","","","","","","",""
"USLB","","","","","","",""
"USL","","","","","","",""
"USIO","","","","","","",""
"USIG","","","","","","",""
"USI","","","","","","",""
"USHY","","","","","","",""
"USHG","","","","","","",""
"USFR","","","","","","",""
"USFD","","","","","","",""
"USEQ","","","","","","",""
"USEP","","","","","","",""
"USEG","","","","","","",""
"USDU","","","","","","",""
"USDP","","","","","","",""
"USD","","","","","","",""
"USCR","","","","","","",""
"USCI","","","","","","",""
"USB","","","","","","",""
"USAU","","","","","","",""
"USAS","","","","","","",""
"USAP","","","","","","",""
"USAK","","","","","","",""
"USAI","","","","","","",""
"USAC","","","","","","",""
"USA","","","","","","",""
"URTY","","","","","","",""
"URTH","","","","","","",""
"UROV","","","","","","",""
"URNM","","","","","","",""
"URI","","","","","","",""
"URGN","","","","","","",""
"URG","","","","","","",""
"URE","","","","","","",""
"URBN","","","","","","",""
"URA","","","","","","",""
"UPWK","","","","","","",""
"UPW","","","","","","",""
"UPV","","","","","","",""
"UPS","","","","","","",""
"UPRO","","","","","","",""
"UPLD","","","","","","",""
"UONEK","","","","","","",""
"UONE","","","","","","",""
"UOCT","","","","","","",""
"UNVR","","","","","","",""
"UNTY","","","","","","",""
"UNP","","","","","","",""
"UNOV","","","","","","",""
"UNMA","","","","","","",""
"UNM","","","","","","",""
"UNL","","","","","","",""
"UNIT","","","","","","",""
"UNH","","","","","","",""
"UNG","","","","","","",""
"UNFI","","","","","","",""
"UNF","","","","","","",""
"UNB","","","","","","",""
"UNAM","","","","","","",""
"UN","","","","","","",""
"UMPQ","","","","","","",""
"UMH","","","","","","",""
"UMDD","","","","","","",""
"UMC","","","","","","",""
"UMBF","","","","","","",""
"UMAY","","","","","","",""
"UMAR","","","","","","",""
"ULVM","","","","","","",""
"ULTR","","","","","","",""
"ULTA","","","","","","",""
"ULST","","","","","","",""
"ULH","","","","","","",""
"ULE","","","","","","",""
"ULBI","","","","","","",""
"UL","","","","","","",""
"UKOMW","","","","","","",""
"UK","","","","","","",""
"UJUN","","","","","","",""
"UJUL","","","","","","",""
"UJB","","","","","","",""
"UJAN","","","","","","",""
"UIVM","","","","","","",""
"UITB","","","","","","",""
"UIS","","","","","","",""
"UIHC","","","","","","",""
"UI","","","","","","",""
"UHT","","","","","","",""
"UHS","","","","","","",""
"UHAL","","","","","","",""
"UGP","","","","","","",""
"UGL","","","","","","",""
"UGI","","","","","","",""
"UGE","","","","","","",""
"UGA","","","","","","",""
"UG","","","","","","",""
"UFS","","","","","","",""
"UFPT","","","","","","",""
"UFPI","","","","","","",""
"UFO","","","","","","",""
"UFI","","","","","","",""
"UFEB","","","","","","",""
"UFCS","","","","","","",""
"UFAB","","","","","","",""
"UEVM","","","","","","",""
"UEPS","","","","","","",""
"UEIC","","","","","","",""
"UEC","","","","","","",""
"UE","","","","","","",""
"UDR","","","","","","",""
"UDOW","","","","","","",""
"UDN","","","","","","",""
"UDEC","","","","","","",""
"UCTT","","","","","","",""
"UCON","","","","","","",""
"UCO","","","","","","",""
"UCL","","","","","","",""
"UCIB","","","","","","",""
"UCI","","","","","","",""
"UCC","","","","","","",""
"UCBIO","","","","","","",""
"UCBI","","","","","","",""
"UBX","","","","","","",""
"UBT","","","","","","",""
"UBSI","","","","","","",""
"UBS","","","","","","",""
"UBR","","","","","","",""
"UBP","","","","","","",""
"UBOT","","","","","","",""
"UBOH","","","","","","",""
"UBG","","","","","","",""
"UBFO","","","","","","",""
"UBER","","","","","","",""
"UBCP","","","","","","",""
"UBA","","","","","","",""
"UAVS","","","","","","",""
"UAUG","","","","","","",""
"UAPR","","","","","","",""
"UAN","","","","","","",""
"UAMY","","","","","","",""
"UAL","","","","","","",""
"UAG","","","","","","",""
"UAE","","","","","","",""
"UAA","","","","","","",""
"UA","","","","","","",""
"U","","","","","","",""
"TZOO","","","","","","",""
"TZACW","","","","","","",""
"TZACU","","","","","","",""
"TZAC","","","","","","",""
"TZA","","","","","","",""
"TYO","","","","","","",""
"TYME","","","","","","",""
"TYL","","","","","","",""
"TYHT","","","","","","",""
"TYG","","","","","","",""
"TYD","","","","","","",""
"TY","","","","","","",""
"TXT","","","","","","",""
"TXRH","","","","","","",""
"TXN","","","","","","",""
"TXMD","","","","","","",""
"TXG","","","","","","",""
"TX","","","","","","",""
"TWTR","","","","","","",""
"TWST","","","","","","",""
"TWOU","","","","","","",""
"TWO","","","","","","",""
"TWNKW","","","","","","",""
"TWNK","","","","","","",""
"TWND","","","","","","",""
"TWN","","","","","","",""
"TWM","","","","","","",""
"TWLO","","","","","","",""
"TWIN","","","","","","",""
"TWI","","","","","","",""
"TWCTW","","","","","","",""
"TWCTU","","","","","","",""
"TWCT","","","","","","",""
"TW","","","","","","",""
"TVTY","","","","","","",""
"TVE","","","","","","",""
"TVC","","","","","","",""
"TV","","","","","","",""
"TUSK","","","","","","",""
"TUSA","","","","","","",""
"TURN","","","","","","",""
"TUR","","","","","","",""
"TUP","","","","","","",""
"TUFN","","","","","","",""
"TU","","","","","","",""
"TTWO","","","","","","",""
"TTTN","","","","","","",""
"TTT","","","","","","",""
"TTP","","","","","","",""
"TTOO","","","","","","",""
"TTNP","","","","","","",""
"TTMI","","","","","","",""
"TTM","","","","","","",""
"TTI","","","","","","",""
"TTGT","","","","","","",""
"TTEK","","","","","","",""
"TTEC","","","","","","",""
"TTD","","","","","","",""
"TTCFW","","","","","","",""
"TTCF","","","","","","",""
"TTC","","","","","","",""
"TTAI","","","","","","",""
"TTAC","","","","","","",""
"TT","","","","","","",""
"TSRI","","","","","","",""
"TSQ","","","","","","",""
"TSOC","","","","","","",""
"TSN","","","","","","",""
"TSM","","","","","","",""
"TSLX","","","","","","",""
"TSLA","","","","","","",""
"TSIAU","","","","","","",""
"TSI","","","","","","",""
"TSHA","","","","","","",""
"TSEM","","","","","","",""
"TSE","","","","","","",""
"TSCO","","","","","","",""
"TSCBP","","","","","","",""
"TSCAP","","","","","","",""
"TSC","","","","","","",""
"TSBK","","","","","","",""
"TS","","","","","","",""
"TRXC","","","","","","",""
"TRX","","","","","","",""
"TRVN","","","","","","",""
"TRVI","","","","","","",""
"TRVG","","","","","","",""
"TRV","","","","","","",""
"TRUP","","","","","","",""
"TRUE","","","","","","",""
"TRU","","","","","","",""
"TRTY","","","","","","",""
"TRTX","","","","","","",""
"TRTN","","","","","","",""
"TRT","","","","","","",""
"TRST","","","","","","",""
"TRS","","","","","","",""
"TRQ","","","","","","",""
"TRP","","","","","","",""
"TROX","","","","","","",""
"TROW","","","","","","",""
"TRNS","","","","","","",""
"TRNO","","","","","","",""
"TRNE","","","","","","",""
"TRND","","","","","","",""
"TRN","","","","","","",""
"TRMT","","","","","","",""
"TRMK","","","","","","",""
"TRMD","","","","","","",""
"TRMB","","","","","","",""
"TRITW","","","","","","",""
"TRIT","","","","","","",""
"TRIP","","","","","","",""
"TRIL","","","","","","",""
"TRIB","","","","","","",""
"TRI","","","","","","",""
"TRHC","","","","","","",""
"TRGP","","","","","","",""
"TREX","","","","","","",""
"TREE","","","","","","",""
"TREC","","","","","","",""
"TREB","","","","","","",""
"TRCH","","","","","","",""
"TRC","","","","","","",""
"TR","","","","","","",""
"TQQQ","","","","","","",""
"TPZ","","","","","","",""
"TPYP","","","","","","",""
"TPX","","","","","","",""
"TPVY","","","","","","",""
"TPVG","","","","","","",""
"TPTX","","","","","","",""
"TPSC","","","","","","",""
"TPRE","","","","","","",""
"TPR","","","","","","",""
"TPOR","","","","","","",""
"TPLC","","","","","","",""
"TPL","","","","","","",""
"TPIF","","","","","","",""
"TPIC","","","","","","",""
"TPHS","","","","","","",""
"TPHD","","","","","","",""
"TPH","","","","","","",""
"TPCO","","","","","","",""
"TPC","","","","","","",""
"TPB","","","","","","",""
"TPAY","","","","","","",""
"TOWN","","","","","","",""
"TOUR","","","","","","",""
"TOTL","","","","","","",""
"TOTAW","","","","","","",""
"TOTAU","","","","","","",""
"TOTAR","","","","","","",""
"TOTA","","","","","","",""
"TOT","","","","","","",""
"TOPS","","","","","","",""
"TOMZ","","","","","","",""
"TOLZ","","","","","","",""
"TOL","","","","","","",""
"TOKE","","","","","","",""
"TOK","","","","","","",""
"TNXP","","","","","","",""
"TNP","","","","","","",""
"TNK","","","","","","",""
"TNET","","","","","","",""
"TNDM","","","","","","",""
"TNC","","","","","","",""
"TNAV","","","","","","",""
"TNA","","","","","","",""
"TMX","","","","","","",""
"TMV","","","","","","",""
"TMUS","","","","","","",""
"TMTSW","","","","","","",""
"TMTSU","","","","","","",""
"TMTS","","","","","","",""
"TMST","","","","","","",""
"TMQ","","","","","","",""
"TMPMU","","","","","","",""
"TMP","","","","","","",""
"TMO","","","","","","",""
"TMHC","","","","","","",""
"TMFC","","","","","","",""
"TMF","","","","","","",""
"TME","","","","","","",""
"TMDX","","","","","","",""
"TMDV","","","","","","",""
"TMDI","","","","","","",""
"TMBR","","","","","","",""
"TM","","","","","","",""
"TLYS","","","","","","",""
"TLTE","","","","","","",""
"TLTD","","","","","","",""
"TLT","","","","","","",""
"TLSA","","","","","","",""
"TLRY","","","","","","",""
"TLND","","","","","","",""
"TLMDW","","","","","","",""
"TLMD","","","","","","",""
"TLK","","","","","","",""
"TLI","","","","","","",""
"TLH","","","","","","",""
"TLGT","","","","","","",""
"TLEH","","","","","","",""
"TLDH","","","","","","",""
"TLC","","","","","","",""
"TKR","","","","","","",""
"TKC","","","","","","",""
"TKAT","","","","","","",""
"TK","","","","","","",""
"TJX","","","","","","",""
"TITN","","","","","","",""
"TISI","","","","","","",""
"TIPZ","","","","","","",""
"TIPX","","","","","","",""
"TIPT","","","","","","",""
"TIP","","","","","","",""
"TIMB","","","","","","",""
"TILT","","","","","","",""
"TILE","","","","","","",""
"TIGR","","","","","","",""
"TIGO","","","","","","",""
"TIG","","","","","","",""
"TIF","","","","","","",""
"THY","","","","","","",""
"THWWW","","","","","","",""
"THW","","","","","","",""
"THTX","","","","","","",""
"THS","","","","","","",""
"THRY","","","","","","",""
"THRM","","","","","","",""
"THR","","","","","","",""
"THQ","","","","","","",""
"THO","","","","","","",""
"THNQ","","","","","","",""
"THMO","","","","","","",""
"THM","","","","","","",""
"THG","","","","","","",""
